CALL  LAT     LON      ELEV(M) BEGIN    END
BGDH  +76.767 -018.667 +0012.0 19490101 20171126
BGDB  +74.300 -020.217 +0044.0 19450901 20171126
BGMV  +72.250 -024.333 +0010.0 19730101 20060418
BGSC  +70.483 -021.950 +0069.0 19360501 20161207
BGKT  +70.417 -021.967 +0041.0 19510801 20040919
BGCO  +70.750 -022.650 +0010.0 19860510 20171126
BGAT  +67.783 -032.300 +0018.0 19500801 19870131
BGAT  +67.783 -032.283 +0023.0 19870301 20171126
BGAM  +65.600 -037.633 +0052.0 19360501 20171012
BGKK  +65.583 -037.150 +0037.0 19431005 20171126
BGPC  +60.033 -043.117 +0019.0 19430101 20171126
BGRN  +66.481 -046.283 +2098.0 20110201 20130212
EKVG  +62.064 -007.277 +0085.3 19740805 20171126
EKHR  +55.500 +007.867 +0021.0 20101213 20171126
EKHN  +55.600 +007.624 +0010.0 20101213 20171126
EKGF  +55.720 +004.800 +0043.0 20050309 20171126
EKGC  +55.580 +004.759 +0096.0 20120822 20171126
EKHA  +55.531 +005.004 +0094.5 20120821 20171126
EKTE  +55.722 +004.802 +0095.1 20120821 20171126
EKHD  +56.344 +004.272 +0095.0 20120904 20171126
EKTS  +57.069 +008.705 +0007.0 19730621 20070201
EKYT  +57.093 +009.849 +0003.0 19400401 20171126
EKSN  +57.504 +010.229 +0028.0 19820501 20171124
EKHS  +56.717 +010.117 +0002.0 19830203 20020403
EKHO  +56.383 +008.433 +0015.0 19770508 20070307
EKKA  +56.297 +009.125 +0051.8 19730101 20171126
EKSV  +56.550 +009.173 +0022.6 19761201 20070307
EKVJ  +55.990 +008.354 +0005.2 19730621 20171124
EKAH  +56.300 +010.619 +0025.0 19730101 20171126
EKAT  +56.700 +011.550 +0008.0 19841201 20070319
EKEB  +55.526 +008.553 +0029.6 19730621 20171126
EKHG  +56.183 +009.033 +0051.0 19770401 20020108
EKOX  +55.583 +008.250 +0017.0 20050530 20170824
EKVA  +55.700 +009.200 +0073.0 19730102 20050213
EKBI  +55.740 +009.152 +0075.3 19730101 20171126
EKVD  +55.436 +009.331 +0043.6 19900911 20171126
EKSP  +55.226 +009.264 +0043.0 19730101 20171126
EKSB  +54.964 +009.792 +0007.3 19730621 20171126
EKOD  +55.477 +010.331 +0017.1 19730101 20171126
EKST  +55.017 +010.567 +0006.0 19830401 20171126
EKAV  +55.083 +011.783 +0004.0 20120704 20171126
EKMB  +54.699 +011.440 +0004.9 19860401 20070209
EKVL  +55.767 +012.343 +0018.0 19391101 20070227
EKSL  +55.717 +012.383 +0032.0 20070306 20070307
EKRK  +55.586 +012.131 +0044.5 19770419 20171126
EKCH  +55.618 +012.656 +0005.2 19290801 20171126
EKRN  +55.063 +014.760 +0015.8 19740110 20171126
EHDV  +54.317 +002.933 +0036.0 20080826 20171126
EHPG  +52.367 +003.350 +0024.0 20091109 20171126
EHKV  +53.267 +003.633 +0027.0 20070815 20171126
EHAK  +55.417 +003.817 +0033.0 20090209 20171126
EHFZ  +54.117 +004.017 +0028.0 20070105 20171126
EHMG  +53.617 +004.967 +0030.0 20070105 20171126
EHMA  +53.500 +005.950 +0027.0 20070105 20171126
EHVB  +52.167 +004.433 +0001.0 19490101 20160503
EHJA  +53.817 +002.950 +0034.0 20090209 20171126
EHQE  +52.917 +004.150 +0041.0 20081118 20171126
EHKD  +52.923 +004.781 +0000.9 19730101 20171126
EHFD  +54.850 +004.733 +0000.0 19940301 20171126
EHAM  +52.309 +004.764 -0003.4 19320503 20171126
EHVL  +53.250 +004.917 +0005.0 19730102 20171126
EHJR  +53.217 +003.217 +0030.0 19960801 20171126
EHAU  +56.383 +002.050 +0034.0 19960801 20060303
EHDB  +52.100 +005.183 +0004.0 19310101 20171126
EHSB  +52.127 +005.276 +0020.1 19511001 20081120
EHLE  +52.460 +005.527 -0004.0 19940901 20171126
EHEP  +52.000 +003.283 +0018.0 20040510 20061127
EHFS  +51.450 +003.600 +0008.0 20040510 20171126
EHGO  +51.933 +003.667 +0019.0 20040510 20061127
EHKA  +53.217 +003.217 +0030.0 20040510 20061127
EHMP  +52.267 +004.300 +0017.0 20040510 20060705
EHNC  +61.233 +001.150 +0047.0 20040510 20060303
EHLW  +53.229 +005.761 +0000.9 19490101 20171126
EHDL  +52.061 +005.873 +0048.2 19491017 20171126
EHGG  +53.120 +006.579 +0005.2 19310601 20171126
EHTW  +52.270 +006.874 +0034.7 19490101 20171126
EHSC  +51.933 +003.667 +0019.0 19490101 20171126
EHSA  +52.000 +003.283 +0018.0 19960801 20171126
